    Nr;ElementName;ElementType;ValidationClass;TestId;TestName;Level;Issue
    1;Schuldvordering;Element;EaElementHasDefinitionTag;05; GeenOntbrekendeElementenInOverzicht.;warning;No valid definitiontags found for Schuldvordering
    2;Schuldenaar;Element;EaElementHasDefinitionTag;05; GeenOntbrekendeElementenInOverzicht.;warning;No valid definitiontags found for Schuldenaar
    3;Schuldeiser;Element;EaElementHasDefinitionTag;05; GeenOntbrekendeElementenInOverzicht.;warning;No valid definitiontags found for Schuldeiser
    4;Rechtspositie;Element;EaElementHasDefinitionTag;05; GeenOntbrekendeElementenInOverzicht.;warning;No valid definitiontags found for Rechtspositie
    5;JuridischWerk;Element;EaElementHasDefinitionTag;05; GeenOntbrekendeElementenInOverzicht.;warning;No valid definitiontags found for JuridischWerk
    6;Geldbedrag;Element;EaElementHasDefinitionTag;05; GeenOntbrekendeElementenInOverzicht.;warning;No valid definitiontags found for Geldbedrag
    7;FinancieleToestand;Element;EaElementHasDefinitionTag;05; GeenOntbrekendeElementenInOverzicht.;warning;No valid definitiontags found for FinancieleToestand
    8;Document;Element;EaElementHasDefinitionTag;05; GeenOntbrekendeElementenInOverzicht.;warning;No valid definitiontags found for Document
    9;Tijdspanne;Element;EaElementHasDefinitionTag;05; GeenOntbrekendeElementenInOverzicht.;warning;No valid definitiontags found for Tijdspanne
    10;Rechtspositie;Element;EaElementHasLabelTag;02; GeenOntbrekendeElementenInOverzicht.;warning;No valid labeltags found for element Rechtspositie
    11;Schuldvordering->Betwisting (A);Connector;EaConnectorHasCardinality;10; Attribuut:KardinaliteitAanwezig.;warning;No valid source cardinality defined for connector schuldvordering (Schuldvordering->Betwisting (A)): null.
    12;schuldenaar;Connector;EaConnectorRefersToPackageWithBaseUri;15; URI:BaseUriAanwezig.;warning;Package of role schuldenaar of connector Schuldvordering->Schuldenaar (A) (OSLO-Schuldbeheer-master) does not have an baseUri tag.
    13;schuldeiser;Connector;EaConnectorRefersToPackageWithBaseUri;15; URI:BaseUriAanwezig.;warning;Package of role schuldeiser of connector Schuldvordering->Schuldeiser (A) (OSLO-Schuldbeheer-master) does not have an baseUri tag.
